,title,location,price,url,listing_id,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Air conditioning,Alarm,Balcony,Built-in wardrobe,Car park,Children's area,Garden,Internet,Security,Swimming pool,Tennis court,Terrace,Utility room,price_per_sqm
20,,"Quezon City, Metro Manila",80000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-matandang-balara-metro-manila_7b76c1d6de25-7970-2772-1d2b-42466089,24,5.0,7.0,634.0,400 m2,3.0,"5 Bedroom House for sale in Matandang Balara, Metro Manila",14.6717303,121.0926462,"Capitol Homes, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Heating', 'Alarm', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,0,1,1,1,1,1,1,126182.97
21,,"Quezon City, Metro Manila",95000000.0,https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bagbag-metro-manila_25d099d0f406-7970-2772-a2aa-72466089,24,4.0,7.0,525.0,300 m2,3.0,"4 Bedroom House for sale in Bagbag, Metro Manila",14.6958021,121.027019,"Tivoli royale, Isaiah Street, brgy matandang balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Roof garden', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,0,1,1,1,1,1,1,1,1,1,0,1,180952.38
22,,"Quezon City, Metro Manila",17500000.0,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-bagong-silangan-metro-manila_42968a0cbef6-6a60-1552-3a74-57b46089,24,3.0,3.0,200.0,240 m2,1.0,"3 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Tennis court', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Cellar', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,0,0,1,1,1,1,1,1,1,1,0,1,87500.0
23,,"Quezon City, Metro Manila",62000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-bahay-toro-metro-manila_b2b7dc63c643-ea61-2bb2-1a81-4b857089,DS88-003115,5.0,5.0,439.0,200 m2,,"5 Bedroom House for sale in Bahay Toro, Metro Manila",14.6651229,121.0290542,"Congressional Village III, Congressional Avenue, Project 8, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Built-in wardrobe']",1,0,0,1,1,0,0,0,0,0,0,0,0,141230.07
24,,"Quezon City, Metro Manila",62000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-bahay-toro-metro-manila_c31a0c1ff8a4-ea61-2bb2-c51a-dd857089,DS88-003114,5.0,5.0,439.0,200 m2,,"5 Bedroom House for sale in Bahay Toro, Metro Manila",14.6651229,121.0290542,"Congressional Village III, Congressional Avenue, Project 8, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Built-in wardrobe']",1,0,0,1,1,0,0,0,0,0,0,0,0,141230.07
25,,"Quezon City, Metro Manila",190000000.0,https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-white-plains-metro-manila_0ca8207121ac-792f-5662-0795-7aa27089,03,7.0,5.0,800.0,427 m2,,"7 Bedroom House for sale in White Plains, Metro Manila",14.6063413,121.072206,"White Plains, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Tennis court', 'Terrace']",0,0,0,0,0,0,0,0,0,1,1,1,0,237500.0
26,,"Quezon City, Metro Manila",49000000.0,https://www.dotproperty.com.ph/ads/7-bedroom-house-for-sale-in-bagong-silangan-metro-manila_0f811239d036-6a60-1552-cd6c-87b46089,24,7.0,7.0,515.0,265 m2,3.0,"7 Bedroom House for sale in Bagong Silangan, Metro Manila",14.6948107,121.1037268,"Filinvest 2 Subdivision, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', 'Tennis court', 'Sauna', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Terrace', 'Water', 'Patio', 'Heating', 'Fireplace', 'Built-in wardrobe', 'Access for the disabled', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Hot Tub', 'Natural gas', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,0,1,1,1,1,1,1,1,1,1,1,1,95145.63
27,,"Quezon City, Metro Manila",185000000.0,https://www.dotproperty.com.ph/10-bedroom-house-for-sale-in-pasong-tamo-metro-manila_7163880,MANSION FOR SALE IN LOYOLA GRAND VILLAS,10.0,12.0,1500.0,"1,838 m2",3.0,"10 Bedroom House for sale in Pasong Tamo, Metro Manila",14.676041,121.0437,"218 Narra St, Quezon City, 1810 Metro Manila, Philippines","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Grill', 'Video cable']",1,0,0,0,1,0,1,1,1,1,0,0,0,123333.33
28,,"Quezon City, Metro Manila",158000000.0,https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_cf0c5f9216f2-cd3e-5442-486e-0cfa8089,"Prime 3 storey Brandnew Modern House with Swimming Pool, Elevator & view deck",5.0,8.0,900.0,496 m2,3.0,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6746752,121.0590176,"Mira-Nila Homes, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Roof garden', 'Terrace', 'Water', 'Patio', 'Alarm', 'Built-in wardrobe', 'Cellar', 'Grill', 'Guardhouse', 'Hot Tub', 'Office', 'Utility room', 'Video cable', 'Cistern']",1,1,1,1,1,1,1,1,1,1,0,1,1,175555.56
29,,"Quezon City, Metro Manila",185000000.0,https://www.dotproperty.com.ph/8-bedroom-house-for-sale-in-matandang-balara-metro-manila_8417991,4fe756f9-ca4a-4f82-ade9-05649a359a55,8.0,8.0,1100.0,"1,120 m2",2.0,"8 Bedroom House for sale in Matandang Balara, Metro Manila",14.6710069,121.0944076,"Capitol Homes, Zurich Avenue, Matandang Balara, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Electricity', 'Water']",1,0,0,0,1,0,0,0,0,0,0,0,0,168181.82
