title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Internet,Car park,Balcony,Electricity,Panoramic view,Terrace,Water,Cistern,Air conditioning,Security,Built-in kitchen,Equipped kitchen,Utility room,Video cable,Access for the disabled,Alarm,Built-in wardrobe,Elevator,Swimming pool,Gym,Garden,Children's area,Concierge,Library,Tennis court,Sauna,Roof garden,Patio,Heating,Fireplace,Cellar,Grill,Guardhouse,Hot Tub,Natural gas,Office
,"Quezon City, Metro Manila","₱ 18,000,000",,https://www.dotproperty.com.ph/ads/24-bedroom-apartment-for-sale-in-loyola-heights-metro-manila-near-lrt-2-katipunan_47e29067a9cb-704f-bb88-d30f-95717c4a,f5d28240-a96c-11ee-a592-ed0f23907b25,24,24,,,"24 Bedroom Apartment for sale in Loyola Heights, Metro Manila near LRT-2 Katipunan",14.6354708,121.0684058,"Xavierville Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Security', 'Car park', 'Balcony', 'Electricity', 'Water', 'Cellar', 'Guardhouse', 'Built-in kitchen']",0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,1.0,,1.0,,,
,"Quezon City, Metro Manila","₱ 10,000,000","(₱ 35,211 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-san-bartolome-metro-manila_e5269dbef54f-ae4f-0632-17c1-4ff86089,rays_QC,,,284 m2,550,"Apartment for sale in San Bartolome, Metro Manila",14.7043235,121.0306432,"San Bartolome, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 35,000,000",,https://www.dotproperty.com.ph/13-bedroom-serviced-apartment-for-sale-or-rent-in-pasong-tamo-metro-manila_8855060,8d1e655f-8b52-41c0-9126-24ae370d9773,13,13,,,"13 Bedroom Serviced Apartment for Sale or Rent in Pasong Tamo, Metro Manila",14.6821382,121.0591368,"Brgy Pasong Tamo Quezon City, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 330,000,000",,https://www.dotproperty.com.ph/ads/5-bedroom-serviced-apartment-for-sale-in-paltok-metro-manila_ea761688bac7-57be-f375-3bd4-7000897b,ES - BRGY PALTOK,5,5,,5,"5 Bedroom Serviced Apartment for sale in Paltok, Metro Manila",14.6445523,121.0234757,"Barangay Paltok, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Garden', 'Access for the disabled']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,1.0,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 22,470,000","(₱ 22,470 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-tandang-sora-tandang-sora-metro-manila_52d7f98d0928-e34f-ab45-b063-6c15fe48,CP-RS,,,"1,000 m2",2,Tandang Sora,14.682105,121.031201,Quezon City,"['Security', 'Car park']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 38,700,000","(₱ 145,489 / m2)",https://www.dotproperty.com.ph/house-for-sale-in-bagbag-metro-manila_9485250,3248,,,266 m2,,"Serviced Apartment for sale in Bagbag, Metro Manila",14.697605,121.0388852,"Remarville Subdivision, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Gym', 'Security', 'Garden', ""Children's area"", 'Water']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 42,000,000",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-pasong-tamo-metro-manila_139fe53ed76a-bebf-1ea8-669b-96fa3fca,fda6fa30-e033-1fb8-aebe-f32cb64ba068,,,,,"Apartment for sale in Pasong Tamo, Metro Manila",14.6773351,121.0495068,"Varsity Lane, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 20,000,000","(₱ 76,923 / m2)",https://www.dotproperty.com.ph/ads/26-bedroom-apartment-for-sale-in-bagong-lipunan-ng-crame-metro-manila-near-mrt-3-santolan_a2e349207a61-542f-6aa2-e1b3-f8e68089,MAD842,26,,260 m2,,"26 Bedroom Apartment for sale in Bagong Lipunan Ng Crame, Metro Manila near MRT-3 Santolan",14.6128176,121.0531125,"4th Avenue, Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 15,000,000","(₱ 34,091 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-alicia-metro-manila-near-lrt-1-roosevelt_b3aec3eafd7b-32be-ace5-0fcb-240c6f32,RESALE-BAGO-BANTAY-QC-203,,,440 m2,,"Apartment for sale in Alicia, Metro Manila near LRT-1 Roosevelt",14.6611723,121.0226271,"Cotabato, Bago Bantay, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 42,000,000",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-pasong-tamo-metro-manila_139fe53ed76a-bebf-1ea8-999b-90529d66,33c07490-e000-1fb8-aebe-f32cb64ba068,,,,,"Apartment for sale in Pasong Tamo, Metro Manila",14.6773351,121.0495068,"Varsity Lane, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 45,000,000","(₱ 180,000 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-roxas-metro-manila_8c1ea318ebc3-bd6e-c4b5-a6e1-e7410a73,62f9852b-8b3f-4e5d-b3ce-6deb186fb8d1,,,250 m2,,"Apartment for sale in Roxas, Metro Manila",14.6274013,121.0213254,"Roxas District, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 125,625,000","(₱ 125,000 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-tatalon-metro-manila_c7a6e3c8b96f-b5a0-ca85-04af-0d68fa43,RSJ545,,,"1,005 m2",,"Apartment for sale in Tatalon, Metro Manila",14.621905,121.0109516,"BMA Avenue, Santa Mesa Heights, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 108,180,000","(₱ 180,000 / m2)",https://www.dotproperty.com.ph/ads/serviced-apartment-for-sale-in-sacred-heart-metro-manila-near-mrt-3-kamuning_d80f5b58715a-509e-e112-9a2d-cd096089,019309cd-c7f0-788b-b094-f48214e4a91c,,,601 m2,,"Serviced Apartment for sale in Sacred Heart, Metro Manila near MRT-3 Kamuning",14.6309814,121.0427694,"Scout Fuentebella Ext, Diliman, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 42,000,000",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-pasong-tamo-metro-manila_139fe53ed76a-bebf-1ea8-f69b-9fa7cf03,69ad2fa0-e03a-1fb8-aebe-f32cb64ba068,,,,,"Apartment for sale in Pasong Tamo, Metro Manila",14.6773351,121.0495068,"Varsity Lane, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 120,000,000",,https://www.dotproperty.com.ph/apartment-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_8858194,DS882559,,,,,"Apartment for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 30,000,000",,https://www.dotproperty.com.ph/ads/apartment-for-sale-in-pasong-tamo-metro-manila_d15f790af464-8ece-5922-932c-aa1c7089,nc710,,,,,"Apartment for sale in Pasong Tamo, Metro Manila",14.6760413,121.0437003,"Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 84,000,000","(₱ 150,000 / m2)",https://www.dotproperty.com.ph/ads/apartment-for-sale-in-socorro-metro-manila-near-mrt-3-santolan_74027c048475-3b91-2112-d24c-1e596089,019304b8-d57c-7887-80e6-425159d27952,,,560 m2,,"Apartment for sale in Socorro, Metro Manila near MRT-3 Santolan",14.6135947,121.0583882,"Liberty Ave, Cubao, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 40,000,000",,https://www.dotproperty.com.ph/serviced-apartment-for-sale-in-san-roque-metro-manila-near-lrt-2-araneta-center-cubao_8262971,f00b19f7-a2c5-40af-9292-34a3320444ec,,,,3,"Serviced Apartment for sale in San Roque, Metro Manila near LRT-2 Araneta Center-Cubao",14.6193727,121.0598738,"15th Avenue, Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 58,000,000",,https://www.dotproperty.com.ph/ads/serviced-apartment-for-sale-in-sangandaan-metro-manila_bce98912e17e-d780-ccc2-0ddf-98107089,01929810-acc9-7ddd-912c-b28b78010bde,,,,1080,"Serviced Apartment for sale in Sangandaan, Metro Manila",14.6739725,121.0206637,"Barangay Sangandaan, Premium Street, Project 8, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 23,000,000",,https://www.dotproperty.com.ph/ads/serviced-apartment-for-sale-in-central-metro-manila-near-mrt-3-quezon-avenue_9f62f6fbc972-5360-c002-3733-7bdf7089,0192ace2-6626-799d-9364-720dea3a73a0,,,,261,"Serviced Apartment for sale in Central, Metro Manila near MRT-3 Quezon Avenue",14.6456914,121.0421102,"Pinyahan, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 25,000,000",,https://www.dotproperty.com.ph/ads/serviced-apartment-for-sale-in-kamuning-metro-manila-near-mrt-3-kamuning_4bde5386d47b-509e-e112-f705-7d096089,019309c2-492a-788b-b094-e25c3164bce5,,,,180,"Serviced Apartment for sale in Kamuning, Metro Manila near MRT-3 Kamuning",14.628493,121.0385694,"Kamuning, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱ 19,080,000","(₱ 76,320 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-apartment-for-sale-in-tandang-sora-metro-manila_bac74069bd5d-9e7e-8b65-99f9-6aea8853,6411fbf3-0a00-43e1-b2b0-c4ce03952dfe,3,3,250 m2,2,"3 Bedroom Apartment for sale in Tandang Sora, Metro Manila",14.6819218,121.0421102,"Tandang Sora, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Internet', 'Security', 'Water', 'Built-in wardrobe']",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,
