title,location,price,price_per_sqm,url,bedrooms,bathrooms,floor_area,land_area,floor,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Balcony,Built-in kitchen,Built-in wardrobe,Car park,Children's area,Cistern,Concierge,Electricity,Elevator,Equipped kitchen,Garden,Grill,Guardhouse,Gym,Heating,Hot Tub,Internet,Library,Natural gas,Office,Panoramic view,Patio,Roof garden,Sauna,Security,Swimming pool,Tennis court,Terrace,Utility room,Video cable,Water,Cellar,Fireplace
,"Quezon City, Metro Manila","₱ 168,000,000","(₱ 280,000 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bagumbayan-metro-manila_369e2e850b2f-3460-0b25-708c-7afddb8d,4,4,600 m2,486 m2,,"4 Bedroom House for sale in Bagumbayan, Metro Manila",14.6037695,121.0769028,"Acropolis Greens, Atlas, Bagumbayan, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Security', 'Tennis court', 'Equipped kitchen', 'Built-in wardrobe']",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 16,500,000","(₱ 48,817 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-batasan-hills-metro-manila_1c829f7736ae-a46f-aee2-c892-9f676089,5,2,338 m2,216 m2,,"5 Bedroom House for sale in Batasan Hills, Metro Manila",14.6827416,121.1073641,"Filinvest 2, Gold, Quezon City, Kalakhang Maynila, Pilipinas","['Car park', 'Balcony', 'Electricity', 'Water', 'Built-in kitchen']",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 120,000,000","(₱ 218,182 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-matandang-balara-metro-manila_f9ec64bcc2db-ca41-2dd2-09c2-d9b17089,4,4,550 m2,428 m2,,"4 Bedroom House for sale in Matandang Balara, Metro Manila",14.669144,121.0894251,"Capitol Hills Golf Subdivision, Eagle, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Car park', 'Electricity', 'Water', 'Built-in kitchen']",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 105,000,000","(₱ 150,000 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-holy-spirit-metro-manila_07bb152034ef-1db1-7e85-a270-44903b36,5,5,700 m2,"1,121 m2",,"5 Bedroom House for sale in Holy Spirit, Metro Manila",14.6899408,121.0764262,"BF Homes, Quezon City, Holy Spirit Drive, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Balcony', 'Electricity', 'Water', 'Built-in wardrobe']",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 80,000,000",,https://www.dotproperty.com.ph/ads/6-bedroom-house-for-sale-in-laging-handa-metro-manila-near-mrt-3-kamuning_c5ccca015bbe-0800-d3b5-709c-8946f169,6,4,,350 m2,,"6 Bedroom House for sale in Laging Handa, Metro Manila near MRT-3 Kamuning",14.6327494,121.0348582,"Tomas Morato Avenue, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Garden', 'Electricity']",0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 58,000,000","(₱ 113,725 / m2)",https://www.dotproperty.com.ph/ads/4-bedroom-house-for-sale-in-bahay-toro-metro-manila_f268e368f71d-59af-9442-256c-1bf88089,4,5,510 m2,510 m2,,"4 Bedroom House for sale in Bahay Toro, Metro Manila",14.6682464,121.0402407,"Carmel Avenue, Project 8, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 4,500,000","(₱ 69,231 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-house-for-sale-in-bahay-toro-metro-manila_1a83592a49d6-4750-b5f5-d6a3-50a7520c,2,1,65 m2,70 m2,,"2 Bedroom House for sale in Bahay Toro, Metro Manila",14.6681873,121.0338725,"Mindanao Avenue, Project 8, Quezon City, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Balcony', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
,"Quezon City, Metro Manila","₱ 23,000,000",,https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-batasan-hills-metro-manila_c7d71fdea99e-cb00-b0d5-e24b-2f93829a,3,3,,300 m2,,"3 Bedroom House for sale in Batasan Hills, Metro Manila",14.6815238,121.092982,"Filinvest 1 Subdivision, Batasan Hills, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 23,000,000","(₱ 76,667 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-batasan-hills-metro-manila_53c6491c8bc8-cd60-7105-f1f4-eaf87a9d,5,4,300 m2,300 m2,,"5 Bedroom House for sale in Batasan Hills, Metro Manila",14.6815238,121.092982,"Filinvest 1 Subdivision, Batasan Hills, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 14,500,000","(₱ 134,259 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-milagrosa-metro-manila_1ef69c37fa45-bc5e-0345-678c-5ac29bbf,3,2,108 m2,,,"3 Bedroom House for sale in Milagrosa, Metro Manila",14.6207765,121.070773,"Project 4, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 180,000,000","(₱ 225,000 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-saint-ignatius-metro-manila_2288521473af-b460-f0e5-6359-72a6b416,5,8,800 m2,401 m2,,"5 Bedroom House for sale in Saint Ignatius, Metro Manila",14.6110805,121.0709164,"St. Ignatius Village Katipunan Gate, 1st Street, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Car park', 'Balcony', 'Equipped kitchen', 'Alarm', 'Built-in wardrobe', 'Built-in kitchen']",0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 74,000,000","(₱ 119,355 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-house-for-sale-in-pasong-tamo-metro-manila_98eb73039ab7-4a30-6552-eaa7-cb096089,5,5,620 m2,440 m2,,"5 Bedroom House for sale in Pasong Tamo, Metro Manila",14.6760413,121.0437003,"Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Quezon City, Metro Manila","₱ 70,000,000","(₱ 200,000 / m2)",https://www.dotproperty.com.ph/ads/3-bedroom-house-for-sale-in-saint-ignatius-metro-manila_65ee4411cfa5-4290-edd2-d199-cdf96089,3,3,350 m2,210 m2,,"3 Bedroom House for sale in Saint Ignatius, Metro Manila",14.6110805,121.0709164,"St. Ignatius Village Katipunan Gate, 1st Street, Lungsod Quezon, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
