title,location,price,price_per_sqm,url,listing_id,bedrooms,floor_area,land_area,name,latitude,longitude,address,facilities,Access for the disabled,Air conditioning,Alarm,Car park,Concierge,Electricity,Elevator,Internet,Office,Security,Water,Built-in kitchen,Equipped kitchen,Garden,Guardhouse,Gym,Swimming pool,bathrooms,floor,Tennis court,Children's area,Library,Grill,Cistern,Video cable,Panoramic view
,"Quezon City, Metro Manila","₱ 570,000,000","(₱ 142,500 / m2)",https://www.dotproperty.com.ph/commercial-for-sale-in-phil-am-metro-manila-near-mrt-3-north-avenue_5115762,TOMAS MORATO 6-STOREY BUILDING,,"4,000 m2",,"Commercial for sale in Phil-Am, Metro Manila near MRT-3 North Avenue",14.645853,121.02856,"7-A Examiner, Lungsod Quezon, 1104 Kalakhang Maynila, Philippines",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,,,,,
,"Quezon City, Metro Manila","₱ 52,500,000","(₱ 26,250 / m2)",https://www.dotproperty.com.ph/ads/5-bedroom-commercial-for-sale-in-socorro-metro-manila-near-lrt-2-araneta-center-cubao_4b302782a919-6ab1-5925-8f7d-6983d410,AI23-0139,5,"2,000 m2",404 m2,"5 Bedroom Commercial for sale in Socorro, Metro Manila near LRT-2 Araneta Center-Cubao",14.6177663,121.0571541,"Cubao, Quezon City, Kalakhang Maynila, Pilipinas",['Car park'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,
,"Quezon City, Metro Manila","₱ 350,000,000","(₱ 70,000 / m2)",https://www.dotproperty.com.ph/commercial-for-sale-in-phil-am-metro-manila-near-mrt-3-north-avenue_8750852,DS883219,,"5,000 m2","1,150 m2","Commercial for sale in Phil-Am, Metro Manila near MRT-3 North Avenue",14.6463776,121.0279869,"West Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 550,000,000","(₱ 119,565 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-apolonio-samson-metro-manila-near-lrt-1-balintawak_e51fd522c4b2-e5af-9c65-9f3a-627a47a2,7f25f273-f6a0-43d0-af4b-7e5d774ca84b,,"4,600 m2","3,239 m2","Commercial for sale in Apolonio Samson, Metro Manila near LRT-1 Balintawak",14.6559309,121.0077058,"Balintawak, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Security', 'Car park', 'Garden', ""Children's area"", 'Concierge', 'Access for the disabled']",1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,,,,1.0,,,,,
,"Quezon City, Metro Manila","₱ 375,000,000",,https://www.dotproperty.com.ph/ads/commercial-for-sale-in-mariana-metro-manila-near-lrt-2-gilmore_ed243eff176a-4ebf-0255-c576-52059886,SM37,,,"1,500 m2","Commercial for sale in Mariana, Metro Manila near LRT-2 Gilmore",14.6163297,121.0306432,"New Manila, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 245,000,000",,https://www.dotproperty.com.ph/ads/commercial-for-sale-in-phil-am-metro-manila-near-mrt-3-north-avenue_4d1f24c45b5d-c0c0-c552-c2f8-ac1f7089,0192a8df-1a7d-744d-9d9d-c4e45d57a8c5,,,992.3 m2,"Commercial for sale in Phil-Am, Metro Manila near MRT-3 North Avenue",14.6463776,121.0279869,"West Ave, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 120,000,000","(₱ 300,000 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-san-roque-metro-manila_30919fd1fa04-49bf-48e5-cb0f-d268eab5,4efb137c-a9ed-4b15-ae05-59fa8ca08096,,400 m2,"1,000 m2","Commercial for sale in San Roque, Metro Manila",14.617331,121.0627367,"18th Ave, Cubao, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 140,080,000","(₱ 85,000 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-apolonio-samson-metro-manila-near-lrt-1-balintawak_5bc279d217c7-9e30-96c5-8a33-08afe312,DS88-000967,,"1,648 m2","1,648 m2","Commercial for sale in Apolonio Samson, Metro Manila near LRT-1 Balintawak",14.6559309,121.0077058,"Balintawak, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 68,000,000","(₱ 61,818 / m2)",https://www.dotproperty.com.ph/ads/commercial-for-sale-in-apolonio-samson-metro-manila-near-lrt-1-balintawak_a57d25c37d80-c68f-5955-063d-0e0df854,4616,,"1,100 m2",,"Commercial for sale in Apolonio Samson, Metro Manila near LRT-1 Balintawak",14.6613032,121.0100327,"Howmart Road, Balintawak, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,"Quezon City, Metro Manila","₱ 4,010,000","(₱ 148,519 / m2)",https://www.dotproperty.com.ph/commercial-for-sale-in-pasong-tamo-metro-manila_2488266,Symphony2 office,,27 m2,,"Commercial for sale in Pasong Tamo, Metro Manila",14.676063,121.043681,"218 Narra St, Quezon City, 1810 Metro Manila, Philippines","['Swimming pool', 'Gym', 'Security', 'Car park', 'Garden', ""Children's area""]",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,,,1.0,,,,,
