title,location,price,price_per_sqm,url,listing_id,bedrooms,bathrooms,floor_area,floor,name,latitude,longitude,address,facilities,Swimming pool,Air conditioning,Gym,Internet,Security,Car park,Garden,Balcony,Tennis court,Children's area,Equipped kitchen,Electricity,Concierge,Elevator,Roof garden,Water,Alarm,Access for the disabled,Guardhouse,Built-in kitchen,Utility room,Video cable,Patio,Cistern,Panoramic view,Library,Terrace,Heating,Fireplace,Built-in wardrobe,Cellar,Grill,Hot Tub,Natural gas,Office,Sauna
,"Quezon City, Metro Manila","₱2,406,431.00","(₱ 57,986 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-valencia-metro-manila-near-lrt-2-gilmore_118ee6dfb406-20e1-93b2-b57f-71267089,Jr84,1,1,41.5 m2,7,"1 Bedroom Condo for sale in Valencia, Metro Manila near LRT-2 Gilmore",14.61082233,121.03554413,"9 Castilla Street, Valencia, Quezon City, Metro Manila, National Capital Region, PHL","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Equipped kitchen', 'Panoramic view', 'Concierge', 'Elevator', 'Terrace', 'Water', 'Alarm', 'Fireplace', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Office', 'Utility room']",1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,,,1.0,,1.0,,1.0,,,,,,1.0,
,"Quezon City, Metro Manila","₱2,506,431.00","(₱ 60,396 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-valencia-metro-manila-near-lrt-2-gilmore_56e76e504637-7291-fb32-559f-71267089,Jr83,1,1,41.5 m2,7,"1 Bedroom Condo for sale in Valencia, Metro Manila near LRT-2 Gilmore",14.61082233,121.03554413,"9 Castilla Street, Valencia, Quezon City, Metro Manila, National Capital Region, PHL","['Swimming pool', 'Air conditioning', 'Gym', 'Internet', 'Security', 'Car park', 'Equipped kitchen', 'Panoramic view', 'Concierge', 'Elevator', 'Terrace', 'Water', 'Alarm', 'Fireplace', 'Access for the disabled', 'Guardhouse', 'Built-in kitchen', 'Office', 'Utility room']",1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,,,1.0,,1.0,,1.0,,,,,,1.0,
,"Quezon City, Metro Manila","₱16,000,000.00","(₱ 159,204 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-bagumbayan-metro-manila_471d50a4acb2-0061-9af5-3458-4b04224c,KV23SR50,2,2,100.5 m2,,"2 Bedroom Condo for sale in Bagumbayan, Metro Manila",14.6053963,121.0819036,"Bagumbayan, Quezon City, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Gym', 'Security', 'Car park', 'Garden', 'Electricity', 'Panoramic view', 'Concierge', 'Elevator', 'Water', 'Patio', 'Access for the disabled', 'Guardhouse', 'Cistern']",1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1.0,1.0,1.0,,,,,,,,,,,
,"Quezon City, Metro Manila","₱16,000,000.00","(₱ 219,178 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-or-rent-in-the-arton-loyola-heights-metro-manila-near-lrt-2-katipunan_a09cc1a2bd00-50b1-5cc2-517a-7efd9089,VR-30808,2,3,73 m2,,The Arton,14.632048,121.07535,"The Arton by Rockwell, Aurora Boulevard, Quezon Ci","['Swimming pool', 'Gym', 'Security', 'Car park', 'Tennis court', ""Children's area""]",1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱15,000,000.00","(₱ 185,185 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-one-castilla-place-pasong-tamo-metro-manila_ed94cdd03049-2ca0-90a5-3ed9-b02b24a5,DS88-002774,2,2,81 m2,,One Castilla Place,14.676041,121.0437,,"['Security', 'Car park', 'Balcony', 'Electricity', 'Water', 'Built-in wardrobe', 'Built-in kitchen']",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,,,,,,,1.0,,,,,,
,"Quezon City, Metro Manila","₱9,995,000.00","(₱ 107,289 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-do%C3%B1a-imelda-metro-manila-near-lrt-2-v-mapa_6d30ba0c0442-a33e-0d82-4022-97536089,01936420-7795-71c9-b66f-7559d9fe96c3,2,2,93.16 m2,38,"2 Bedroom Condo for sale in Do&ntilde;a Imelda, Metro Manila near LRT-2 V. Mapa",14.6063354,121.0185927,"Mezza Residences Tower 1, Gregorio Araneta Avenue, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Internet', 'Security', 'Car park', 'Garden', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Concierge', 'Elevator', 'Water', 'Patio']",1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1.0,,1.0,,,,,,,,,,,
,"Quezon City, Metro Manila","₱10,500,000.00","(₱ 123,529 / m2)",https://www.dotproperty.com.ph/ads/2-bedroom-condo-for-sale-in-bagumbayan-metro-manila_df70451394ef-ab20-cb88-99de-9cbfeec7,C0440-CK,2,3,85 m2,40,"2 Bedroom Condo for sale in Bagumbayan, Metro Manila",14.60526976,121.08384581,"Aspire Tower, Calle Industria, Bagumbayan, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Swimming pool', 'Air conditioning', 'Gym', 'Security', 'Car park', 'Garden', 'Balcony', ""Children's area"", 'Equipped kitchen', 'Electricity', 'Panoramic view', 'Elevator', 'Terrace', 'Water', 'Patio', 'Built-in wardrobe', 'Grill', 'Guardhouse', 'Built-in kitchen', 'Utility room']",1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1.0,,1.0,,1.0,,,1.0,,1.0,,,,
,"Quezon City, Metro Manila","₱5,500,000.00","(₱ 119,048 / m2)",https://www.dotproperty.com.ph/ads/1-bedroom-condo-for-sale-in-bagong-lipunan-ng-crame-metro-manila-near-mrt-3-santolan_b65d6314cdc4-d341-c712-ef5d-f3e86089,01931b6a-c4ab-782d-856c-5dcd5863c43e,1,1,46.2 m2,,"1 Bedroom Condo for sale in Bagong Lipunan Ng Crame, Metro Manila near MRT-3 Santolan",14.612786,121.0515309,"Madison Place by Vista Residences | Condo in Cubao, Main Avenue, Cubao, Quezon City, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱4,000,000.00","(₱ 95,238 / m2)",https://www.dotproperty.com.ph/2-bedroom-condo-for-sale-in-paligsahan-metro-manila_9750790,OB52,2,1,42 m2,,"2 Bedroom Condo for sale in Paligsahan, Metro Manila",14.6362295,121.0274985,"Victoria Towers ABC&amp;D - Timog Ave, Panay Avenue, Diliman, Lungsod Quezon, Kalakhang Maynila, Pilipinas","['Air conditioning', 'Electricity', 'Elevator', 'Water', 'Alarm', 'Built-in kitchen']",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,
,"Quezon City, Metro Manila","₱5,500,000.00","(₱ 85,938 / m2)",https://www.dotproperty.com.ph/2-bedroom-condo-for-sale-in-quezon-city-metro-manila_9800381,badfa6a3-185c-4d15-9cc3-14bcb94f55a0,2,1,64 m2,,"2 Bedroom Condo for sale in Pasong Putik Proper, Metro Manila",14.7375081,121.0614154,"The Redwoods Fairview, Novaliches, Lungsod Quezon, Kalakhang Maynila, Pilipinas",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
